USER_ID	REPORT_ID	STATUS1	STATUS2	STATUS1_NUM	HARDNESS	ANATOMY	TAIL	FUR	BEHAVIOR	SEX	PHASE	METHOD	END
30374062	19422427	no	no	1	NA	yes	no	no	no	m	6	indirect	force
30953372	20067187	yes	yes	3	NA	yes	NA	yes	yes	w	5	ld	force
32029345	20258686	partially	no	2	NA	yes	NA	NA	NA	w	6	ld	self
31552421	22422794	no	no	1	NA	yes	no	no	no	m	6	direct	NA
31889871	22664118	partially	no	2	NA	partially	NA	no	NA	m	5	ld	dream
34064026	23459166	yes	yes	3	NA	yes	yes	yes	NA	w	5	direct	force
33246123	23664627	partially	no	2	NA	yes	NA	yes	NA	w	5	direct	force
30713967	25644205	yes	yes	3	easy	NA	NA	yes	NA	m	5	ld	outer
31953119	26107436	no	no	1	NA	no	no	no	no	w	5	indirect	dream
31492154	27529646	yes	yes	3	NA	yes	NA	NA	yes	w	6	direct	dream
39075178	29204382	no	no	1	NA	yes	no	no	yes	m	6	indirect	force
33312800	29655013	partially	no	2	NA	yes	no	no	NA	w	5	ld	force
31722999	30839413	partially	no	2	NA	yes	NA	yes	NA	m	6	direct	fake
30507227	31973824	yes	yes	3	NA	yes	NA	yes	NA	m	4	ld	force
30502263	33177720	partially	no	2	NA	yes	NA	yes	NA	m	4	ld	force
50074567	33940891	partially	no	2	NA	NA	NA	yes	NA	m	6	NA	force
31495262	34841272	yes	yes	3	NA	yes	no	yes	NA	m	4	indirect	force
30503052	35373570	partially	no	2	NA	yes	NA	yes	NA	m	5	indirect	force
32621052	38406186	partially	no	2	NA	yes	yes	yes	NA	m	6	ld	force
59581927	44426946	partially	no	2	NA	yes	no	NA	NA	w	5	direct	force
32672967	45231824	yes	yes	3	NA	yes	NA	NA	NA	m	4	direct	force
63967545	47135266	partially	no	2	NA	yes	NA	yes	NA	m	4	indirect	force
32278993	47379026	partially	no	2	NA	yes	NA	NA	NA	m	4	ld	dream
31127058	47553174	partially	no	2	NA	yes	NA	NA	yes	w	6	direct	force
33532541	52863224	yes	yes	3	NA	yes	NA	NA	NA	m	5	ld	self
31399541	54735345	no	no	1	NA	yes	no	no	no	m	5	ld	force
40376886	55481698	yes	yes	3	NA	yes	NA	yes	yes	w	5	direct	force
30969351	61301482	partially	no	2	NA	yes	NA	NA	NA	w	4	ld	dream
47158420	69703877	yes	yes	3	NA	yes	NA	yes	NA	w	6	ld	force
47072669	70653191	partially	no	2	NA	yes	NA	NA	NA	m	4	ld	force
41006244	87615465	yes	yes	3	NA	yes	yes	yes	yes	w	4	indirect	force
99245465	94985504	partially	no	2	NA	yes	NA	NA	NA	m	4	direct	force
98920227	96186042	partially	no	2	NA	yes	NA	NA	NA	w	5	indirect	force
99710310	97117112	partially	no	2	NA	yes	NA	no	NA	m	5	ld	force
31492147	97709971	partially	no	2	NA	no	NA	NA	NA	m	4	ld	self
35565459	98372078	partially	no	2	NA	yes	NA	NA	NA	w	5	direct	force
31953729	101454187	yes	yes	3	NA	yes	yes	NA	NA	m	5	direct	force
30967746	101596622	no	no	1	NA	yes	no	partially	no	m	5	ld	force
30498763	103506559	yes	yes	3	easy	yes	NA	yes	NA	w	5	direct	force
73307279	104496010	no	no	1	NA	yes	no	no	no	w	5	indirect	outer
113972113	105952941	partially	no	2	easy	yes	NA	no	NA	w	3	ld	self
33299005	106454096	yes	yes	3	easy	NA	yes	yes	yes	w	5	direct	outer
139498412	110677551	yes	yes	3	NA	yes	NA	yes	yes	w	5	ld	self
131644156	113172047	yes	yes	3	NA	NA	NA	NA	NA	w	4	indirect	force
65807579	113226198	partially	no	2	NA	yes	NA	NA	NA	m	4	ld	force
70204750	116112798	no	no	1	NA	no	no	no	no	w	5	ld	outer
111542181	116517931	yes	yes	3	NA	yes	NA	NA	NA	m	4	ld	dream
124554892	118551139	yes	yes	3	NA	yes	NA	NA	NA	w	3	indirect	self
31515267	118702927	partially	no	2	NA	yes	NA	yes	NA	w	4	ld	NA
31174623	119066857	partially	no	2	NA	yes	NA	NA	NA	m	4	indirect	fake
30673325	119348028	partially	no	2	NA	yes	NA	NA	NA	w	5	ld	force
149308736	119559211	yes	yes	3	NA	yes	NA	yes	NA	w	4	ld	force
139414237	121330989	partially	no	2	NA	yes	partially	NA	yes	w	3	direct	NA
158352805	126495697	partially	no	2	NA	NA	NA	yes	NA	w	5	ld	dream
31504810	127985049	partially	no	2	NA	yes	NA	NA	NA	m	5	indirect	force
124769428	128375041	yes	yes	3	NA	yes	NA	NA	NA	w	4	direct	dream
120671159	130212095	partially	no	2	NA	yes	NA	NA	NA	m	5	ld	force
150378164	132623127	partially	no	2	NA	yes	NA	yes	NA	w	3	indirect	force
130249401	133452459	yes	yes	3	NA	NA	NA	NA	NA	w	5	indirect	NA
156564045	134811076	partially	no	2	NA	yes	NA	NA	NA	m	4	ld	self
148574478	136424170	partially	no	2	NA	yes	NA	yes	NA	w	3	indirect	force
159824764	136448905	partially	no	2	easy	yes	NA	NA	yes	m	4	ld	dream
65709602	137914597	yes	yes	3	easy	yes	yes	yes	NA	m	5	indirect	dream
30772296	140346365	yes	yes	3	NA	yes	NA	NA	yes	w	3	ld	fake
56931093	140881673	partially	no	2	NA	yes	NA	NA	NA	w	3	ld	dream
165995060	140896036	partially	no	2	NA	yes	no	NA	NA	m	5	ld	outer
38679260	141113936	partially	no	2	NA	yes	NA	yes	NA	m	5	ld	force
157572604	141388201	yes	yes	3	NA	yes	NA	NA	yes	w	4	ld	dream
66244808	142268854	partially	no	2	hard	yes	NA	yes	NA	w	3	direct	dream
163506046	143431169	partially	no	2	NA	yes	NA	NA	NA	w	2	indirect	dream
172047382	143763279	yes	yes	3	NA	yes	NA	NA	NA	w	3	indirect	force
176292569	143809519	partially	yes	2	NA	yes	NA	NA	NA	w	3	ld	NA
175474964	144112634	yes	yes	3	NA	yes	NA	no	NA	w	NA	indirect	self
40843231	144228133	partially	no	2	NA	yes	NA	NA	NA	m	4	ld	force
30594114	144319460	no	no	1	NA	yes	no	no	no	m	5	ld	force
178966795	144439652	no	no	1	NA	partially	no	no	no	m	2	indirect	dream
123635775	144613165	partially	no	2	NA	yes	NA	no	NA	w	5	indirect	self
178449138	144655408	partially	no	2	NA	yes	NA	NA	no	m	6	indirect	force
179444272	144793683	partially	no	2	NA	yes	NA	no	NA	w	3	indirect	fake
179076775	144845684	yes	yes	3	NA	yes	yes	NA	yes	m	5	direct	dream
133929673	145479805	no	no	1	NA	yes	no	no	no	w	4	indirect	force
157526703	145745631	no	no	1	NA	yes	no	no	no	w	3	indirect	force
87324737	146125854	partially	no	2	NA	yes	NA	NA	NA	w	4	direct	dream
151685159	147433797	partially	no	2	NA	yes	NA	NA	NA	w	6	ld	force
181156592	147578856	no	no	1	NA	yes	no	no	no	m	4	ld	dream
40604255	147964989	no	no	1	NA	no	no	no	no	m	5	indirect	force
50809293	148674382	yes	yes	3	NA	yes	NA	NA	yes	m	5	ld	dream
173002799	149464852	partially	no	2	NA	yes	yes	yes	NA	m	4	indirect	force
91006417	149891573	partially	no	2	NA	yes	NA	yes	yes	m	4	ld	dream
83398555	149985939	yes	yes	3	NA	yes	NA	yes	NA	m	4	direct	force
133062771	149995217	partially	no	2	NA	yes	NA	NA	NA	m	3	indirect	force
84899362	150187346	partially	no	2	NA	NA	NA	NA	NA	w	3	direct	force
57684674	150341775	partially	no	2	NA	yes	yes	yes	NA	m	6	indirect	force
186959325	152616440	yes	yes	3	NA	yes	NA	NA	NA	m	6	indirect	force
124563306	152775966	yes	yes	3	NA	yes	NA	NA	NA	w	4	direct	force
30956967	154265014	no	no	1	NA	yes	no	no	no	m	5	direct	dream
185737861	155228733	partially	no	2	NA	NA	NA	NA	NA	w	3	ld	dream
114518351	166525187	partially	no	2	NA	NA	NA	yes	yes	w	2	ld	force
