USER_ID	REPORT_ID	STATUS1	STATUS_Emotions	STATUS_body	STATUS_Genitals	HARDNESS	SEX	PHASE	METHOD	END
30374062	19737685	yes	no	yes	no	NA	m	6	indirect	outer
30953372	20256444	yes	NA	yes	yes	NA	w	5	ld	force
32029345	20625247	yes	yes	yes	no	NA	w	6	direct	force
31552421	22608100	yes	NA	yes	no	NA	m	6	ld	force
31889871	22906071	yes	no	yes	no	NA	m	5	indirect	dream
34064026	23600276	yes	yes	yes	yes	NA	w	5	indirect	force
33246123	24309069	yes	yes	yes	yes	NA	w	5	ld	force
31953119	26629159	yes	no	yes	no	NA	w	5	indirect	force
30713967	26636390	yes	NA	yes	yes	NA	m	5	indirect	outer
31492154	28534769	yes	NA	yes	yes	NA	w	6	ld	force
39075178	29737271	yes	no	NA	NA	NA	m	6	indirect	force
33312800	30233489	yes	no	yes	NA	NA	w	5	ld	force
31722999	31877865	yes	NA	yes	yes	NA	m	6	ld	self
30507227	34688821	yes	no	yes	NA	NA	m	4	indirect	force
31495262	36355853	yes	no	yes	yes	NA	m	4	indirect	force
30502263	36368519	yes	no	yes	NA	NA	m	5	ld	force
31949319	36647721	yes	no	yes	yes	NA	m	5	ld	force
50074567	36655675	yes	NA	yes	no	NA	m	6	ld	dream
30503052	37247742	yes	no	yes	yes	easy	m	5	indirect	fake
32621052	42400302	yes	no	yes	NA	NA	m	6	ld	fake
59581927	45802913	yes	yes	yes	NA	NA	w	5	direct	dream
32672967	47115569	yes	no	yes	NA	NA	m	4	ld	force
31127058	49550555	no	no	no	no	no	w	6	ld	force
63967545	52593472	no	no	no	no	no	m	5	indirect	force
32278993	61150200	no	no	no	no	no	m	4	ld	force
40376886	62423077	yes	yes	yes	NA	NA	w	5	indirect	fake
31399541	66876837	no	no	no	no	no	m	5	ld	fake
30969351	72283720	no	no	no	no	no	w	4	ld	force
47072669	73066690	yes	NA	yes	NA	NA	m	4	direct	fake
47158420	77509857	yes	yes	no	no	NA	w	6	ld	dream
33532541	81690012	yes	no	yes	yes	NA	m	5	ld	fake
41006244	101741388	yes	no	yes	yes	NA	w	4	direct	force
30967746	102424553	no	no	no	no	no	m	5	ld	force
35565459	104066354	yes	no	yes	yes	NA	w	5	ld	force
99245465	105198372	no	no	no	no	no	m	4	ld	force
99710310	106236290	yes	yes	yes	NA	NA	m	5	indirect	force
31492147	106644901	yes	no	yes	NA	NA	m	4	ld	force
98920227	107334110	yes	NA	yes	NA	NA	w	5	ld	force
73307279	108045704	yes	no	yes	no	NA	w	5	ld	outer
30498763	108343722	yes	yes	yes	no	NA	w	5	ld	dream
139498412	112357611	yes	yes	yes	no	NA	w	5	ld	force
65807579	120375644	yes	no	yes	yes	easy	m	4	ld	force
31515267	121890814	yes	yes	yes	yes	NA	w	4	ld	force
124554892	123634688	yes	yes	yes	NA	NA	w	3	ld	outer
70204750	124654605	yes	no	yes	yes	easy	w	5	ld	force
139414237	124709379	yes	yes	yes	yes	no	w	3	direct	NA
30673325	128000504	no	no	no	no	no	w	5	ld	force
31504810	130285690	no	no	no	no	no	m	5	indirect	fake
120671159	131206045	no	no	no	no	no	m	5	ld	force
158352805	131641972	yes	no	yes	NA	NA	w	5	ld	dream
113972113	134830182	no	no	no	no	no	w	4	ld	force
148574478	138237525	no	no	no	no	no	w	3	indirect	force
124769428	142692158	yes	no	yes	yes	NA	w	4	direct	force
30772296	143099166	no	no	no	no	no	w	3	ld	outer
65709602	144911830	yes	yes	yes	yes	NA	m	5	ld	dream
175474964	145766075	yes	no	yes	yes	easy	w	5	direct	force
179076775	146635124	yes	NA	yes	NA	NA	m	5	direct	dream
38679260	147401188	yes	no	yes	yes	NA	m	5	direct	force
179444272	148219203	yes	NA	yes	yes	NA	w	3	indirect	force
176292569	148548444	yes	no	yes	NA	NA	w	3	direct	outer
178449138	149641431	yes	NA	yes	NA	NA	m	6	indirect	force
151685159	150645386	yes	yes	yes	yes	NA	w	6	direct	force
123635775	150936701	yes	yes	yes	no	easy	w	5	indirect	force
83398555	151375171	yes	yes	yes	yes	NA	m	4	ld	force
159824764	152113916	yes	NA	yes	NA	NA	m	4	ld	dream
57684674	152150718	yes	NA	yes	yes	NA	m	6	ld	force
87324737	153493139	yes	no	yes	no	easy	w	4	ld	dream
84899362	154274681	yes	yes	yes	NA	NA	w	3	direct	dream
68293156	155779020	yes	no	yes	no	NA	m	4	direct	force
66469386	156599404	yes	NA	yes	no	NA	w	4	direct	dream
165995060	156828873	no	no	no	no	no	m	5	ld	dream
190339144	156995546	no	no	no	no	no	w	4	indirect	dream
186959325	157870471	yes	no	yes	NA	NA	m	5	indirect	force
82246749	157892522	yes	no	yes	no	NA	m	6	indirect	force
131644156	158213546	yes	no	yes	NA	NA	w	4	indirect	force
190478582	158876174	no	no	no	no	no	m	5	indirect	force
193265955	162000599	yes	yes	yes	NA	NA	m	4	direct	force
197268455	162153219	yes	yes	no	no	NA	w	4	indirect	self
191418347	162175262	yes	no	yes	yes	NA	m	3	indirect	force
195633425	163670705	yes	yes	yes	NA	NA	w	2	ld	force
197930466	164167519	yes	no	NA	yes	NA	w	4	ld	dream
200587209	164387085	yes	no	yes	yes	NA	w	NA	ld	force
149308736	165962448	yes	yes	yes	NA	NA	w	4	direct	dream
45049435	167076667	yes	no	yes	yes	NA	m	5	direct	force
48236557	167356683	no	no	no	NA	NA	w	6	ld	dream
201126876	167804857	yes	no	yes	yes	NA	w	2	ld	force
185190682	167853750	yes	NA	NA	yes	NA	w	3	NA	force
49868785	168036945	yes	yes	yes	yes	NA	w	5	direct	force
91006417	168142690	no	no	no	no	no	m	3	ld	force
203818928	168433719	yes	yes	yes	yes	NA	w	5	ld	force
48295687	168612792	yes	no	yes	NA	NA	w	5	ld	force
61618539	168918736	yes	NA	yes	NA	NA	m	3	ld	fake
137358765	170643288	yes	NA	yes	yes	easy	w	4	ld	force
56931377	170666073	yes	no	yes	yes	NA	w	6	indirect	force
136536292	171097539	yes	NA	yes	yes	NA	m	2	indirect	force
202209853	173462660	no	no	no	no	no	m	2	ld	dream
157526703	173498876	yes	no	yes	yes	NA	w	4	ld	force
31174623	174296578	no	no	no	no	no	m	4	direct	force
202843608	174976696	yes	yes	yes	yes	NA	m	4	indirect	force
